id,source,target
"1",2166993,"d180412"
"2",3819933,"d180412"
"3",3278520,"d180412"
"4",1279537,"d180412"
"5",1631864,"d180412"
"6",2198321,"d180412"
"7",1253605,"d180412"
"8",2597133,"d180412"
"9",4346136,"d180412"
"10",1306680,"d180412"
"11",714400,"d180412"
"12",702098,"d180412"
"13",3443825,"d180412"
"14",286120,"d180412"
"15",1041060,"d180412"
"16",3807958,"d180412"
"17",1218515,"d180412"
"18",5285496,"d180412"
"19",3184753,"d180412"
"20",3350190,"d180412"
"21",663380,"d180412"
"22",2104807,"d180412"
"23",738278,"d180412"
"24",1039162,"d180412"
"25",4408108,"d180412"
"26",443193,"d180412"
"27",3359557,"d180412"
"28",5087833,"d180412"
"29",795314,"d180412"
"30",374561,"d180412"
"31",3345875,"d180412"
"32",4400390,"d180412"
"33",2245593,"d180412"
"34",208684,"d180412"
"35",5937896,"d180412"
"36",1215049,"d180412"
"37",3107902,"d180412"
"38",4901235,"d180412"
"39",5645973,"d180412"
"40",897901,"d180412"
"41",2280685,"d180412"
"42",4182893,"d180412"
"43",4508316,"d180412"
"44",3291523,"d180412"
"45",2472349,"d180412"
"46",568129,"d180412"
"47",2684928,"d180412"
"48",3419076,"d180412"
"49",600590,"d180412"
"50",2509265,"d180412"
"51",863253,"d180412"
"52",2342332,"d180412"
"53",966910,"d180412"
"54",438102,"d180412"
"55",3645268,"d180412"
"56",5314902,"d180412"
"57",2543528,"d180412"
"58",732214,"d180412"
"59",1523802,"d180412"
"60",375961,"d180412"
"61",543728,"d180412"
"62",703719,"d180412"
"63",3393839,"d180412"
"64",732616,"d180412"
"65",4409059,"d180412"
"66",667143,"d180412"
"67",1257841,"d180412"
"68",4468347,"d180412"
"69",2416207,"d180412"
"70",867893,"d180412"
"71",1424694,"d180412"
"72",2185710,"d180412"
"73",739174,"d180412"
"74",2768668,"d180412"
"75",2770807,"d180412"
"76",3322110,"d180412"
"77",1242470,"d180412"
"78",746713,"d180412"
"79",901211,"d180412"
"80",4186521,"d180412"
"81",2722884,"d180412"
"82",639137,"d180412"
"83",1034304,"d180412"
"84",582721,"d180412"
"85",2134241,"d180412"
"86",2144561,"d180412"
"87",927472,"d180412"
"88",3142425,"d180412"
"89",5030211,"d180412"
"90",5489022,"d180412"
"91",3948967,"d180412"
"92",1094534,"d180412"
"93",1021742,"d180412"
"94",3191774,"d180412"
"95",3559666,"d180412"
"96",2942396,"d180412"
"97",4375073,"d180412"
"98",5293741,"d180412"
"99",3958220,"d180412"
"100",576550,"d180412"
"101",1599940,"d180412"
"102",683062,"d180412"
"103",5599564,"d180412"
"104",879162,"d180412"
"105",872568,"d180412"
"106",1078046,"d180412"
"107",188267,"d180412"
"108",4258028,"d180412"
"109",1542110,"d180412"
"110",3462828,"d180412"
"111",1129827,"d180412"
"112",5785190,"d180412"
"113",5483016,"d180412"
"114",1113540,"d180412"
"115",1073748,"d180412"
"116",1694030,"d180412"
