id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
homeaw599231f58a46554f807ae8fb1,https://www.homeaway.es/p6306294,2.09256697,41.4295845,2017-10-14 13:56:02.767000,2018-06-19 23:35:11.252000,homeaw6306294,Villa,5,8,31,3,204
homeaw599231f58a46554f807ae8fb2,https://www.homeaway.es/p6176709,2.09763956,41.42606354,2017-12-10 02:16:43.204000,2018-01-08 13:34:46.853000,homeaw6176709,Casa,2,4,26,3,113
homeaw599231f58a46554f807ae8fb3,https://www.homeaway.es/p8645397,2.1353303,41.4285008,2018-04-22 23:45:06.675000,2018-06-20 02:01:26.194000,homeaw8645397,Chalet,2,8,0,3,0
homeaw599231f58a46554f807ae8fb4,https://www.homeaway.es/p6809451,2.1440914,41.42051566,2017-10-14 13:56:42.518000,2018-01-08 14:09:05.903000,homeaw6809451,Apartamento,3,9,0,2,120
homeaw599231f58a46554f807ae8fb5,https://www.homeaway.es/p1612848,2.1428019,41.4192664,2018-03-31 20:03:20.463000,2018-06-20 02:19:57.888000,homeaw1612848,Casa,6,16,4,3,407
homeaw599231f58a46554f807ae8fb6,https://www.homeaway.es/p4998326,2.13740589,41.41670984,2018-06-12 23:00:54.740000,2018-06-20 01:15:27.422000,homeaw4998326,Apartamento,3,6,0,7,210
homeaw599231f58a46554f807ae8fb7,https://www.homeaway.es/p8355874,2.1389597,41.4119715,2017-10-14 13:57:46.908000,2018-05-24 09:52:19.462000,homeaw8355874,Apartamento,4,7,0,0,111
homeaw599231f58a46554f807ae8fb8,https://www.homeaway.es/p8366870,2.1389597,41.4119715,2017-10-14 13:57:46.908000,2017-12-28 05:55:31.794000,homeaw8366870,Apartamento,4,7,0,32,161
homeaw599231f58a46554f807ae8fb9,https://www.homeaway.es/p8127708,2.14238,41.41166,2017-10-14 13:57:20,2018-01-08 14:09:20.683000,homeaw8127708,Apartamento,3,7,1,2,103
homeaw599231f58a46554f807ae8fb10,https://www.homeaway.es/p6978819,2.14145,41.41221,2017-10-14 13:57:17.508000,2018-05-01 01:57:29.907000,homeaw6978819,Apartamento,4,8,0,3,241
homeaw599231f58a46554f807ae8fb11,https://www.homeaway.es/p6915660,2.14164554,41.41531954,2017-10-14 13:58:05.808000,2018-01-08 14:09:38.776000,homeaw6915660,Piso,3,6,0,2,76
homeaw599231f58a46554f807ae8fb12,https://www.homeaway.es/p8382432,2.1427952,41.4161575,2017-10-14 13:56:18.171000,2017-12-16 15:24:12.708000,homeaw8382432,Apartamento,8,11,1,3,289
homeaw599231f58a46554f807ae8fb13,https://www.homeaway.es/p8745682,2.1431392,41.41283871,2018-06-12 22:58:23.179000,2018-06-20 00:07:02.746000,homeaw8745682,Casa,3,6,0,2,152
homeaw599231f58a46554f807ae8fb14,https://www.homeaway.es/p6724988,2.142621,41.411589,2017-10-14 13:57:01.129000,2018-06-20 01:16:39.747000,homeaw6724988,Apartamento,3,7,0,1,92
homeaw599231f58a46554f807ae8fb15,https://www.homeaway.es/p8462236,2.144556,41.409333,2017-11-27 04:53:27.861000,2018-06-20 01:17:18.536000,homeaw8462236,Apartamento,3,7,0,1,633
homeaw599231f58a46554f807ae8fb16,https://www.homeaway.es/p8360305,2.14022434,41.41072632,2017-10-14 13:57:46.908000,2017-12-24 10:06:26.814000,homeaw8360305,Apartamento,4,7,0,32,116
homeaw599231f58a46554f807ae8fb17,https://www.homeaway.es/p8611800,2.14441445,41.40632761,2018-03-31 19:59:38.247000,2018-05-24 11:05:29.026000,homeaw8611800,Apartamento,2,4,0,3,168
homeaw599231f58a46554f807ae8fb18,https://www.homeaway.es/p8477007,2.14447461,41.40516801,2018-04-15 05:24:02.296000,2018-05-24 11:24:54.862000,homeaw8477007,Apartamento,2,6,0,3,210
homeaw599231f58a46554f807ae8fb19,https://www.homeaway.es/p1541836,2.14443283,41.405625,2018-01-18 20:46:01.165000,2018-06-20 00:10:21.088000,homeaw1541836,Apartamento,3,8,30,3,210
homeaw599231f58a46554f807ae8fb20,https://www.homeaway.es/p8477004,2.14325832,41.40475441,2018-04-15 05:24:13.453000,2018-05-24 13:15:53.524000,homeaw8477004,Apartamento,2,6,0,3,201
homeaw599231f58a46554f807ae8fb21,https://www.homeaway.es/p8477006,2.14041154,41.40290023,2018-04-15 05:24:13.453000,2018-05-24 09:57:57.756000,homeaw8477006,Apartamento,2,6,0,3,201
homeaw599231f58a46554f807ae8fb22,https://www.homeaway.es/p1998222,2.140159,41.405063,2017-10-14 13:56:53.153000,2018-06-20 01:04:40.333000,homeaw1998222,Apartamento,3,7,6,1,341
homeaw599231f58a46554f807ae8fb23,https://www.homeaway.es/p1998223,2.140159,41.405063,2017-10-14 13:56:53.153000,2018-05-01 01:57:50.991000,homeaw1998223,Apartamento,2,6,3,1,314
homeaw599231f58a46554f807ae8fb24,https://www.homeaway.es/p8477005,2.1412431,41.4049133,2018-04-15 05:24:13.453000,2018-04-16 12:26:49.418000,homeaw8477005,Apartamento,2,4,0,3,195
homeaw599231f58a46554f807ae8fb25,https://www.homeaway.es/p8750901,2.1412431,41.4049133,2018-06-12 22:58:54.867000,2018-06-20 00:24:17.869000,homeaw8750901,Apartamento,2,6,0,1,179
homeaw599231f58a46554f807ae8fb26,https://www.homeaway.es/p8673589,2.14084268,41.40434012,2018-04-15 05:23:16.749000,2018-06-20 00:25:31.828000,homeaw8673589,Apartamento,0,2,21,2,178
homeaw599231f58a46554f807ae8fb27,https://www.homeaway.es/p8691628,2.14135757,41.40625749,2018-06-12 22:58:54.867000,2018-06-20 00:24:13.995000,homeaw8691628,Apartamento,3,7,0,31,225
homeaw599231f58a46554f807ae8fb28,https://www.homeaway.es/p6842636,2.1390886,41.4047016,2017-10-14 13:56:42.518000,2018-05-01 01:10:13.016000,homeaw6842636,Apartamento,4,8,4,3,161
homeaw599231f58a46554f807ae8fb29,https://www.homeaway.es/p8676873,2.1400328,41.4049109,2018-04-15 05:23:16.749000,2018-06-20 01:08:46.045000,homeaw8676873,Apartamento,3,8,1,2,501
homeaw599231f58a46554f807ae8fb30,https://www.homeaway.es/p8676877,2.1400328,41.4049109,2018-04-15 05:23:16.749000,2018-06-20 01:17:27.998000,homeaw8676877,Apartamento,2,6,0,2,468
homeaw599231f58a46554f807ae8fb31,https://www.homeaway.es/p8485082,2.13873048,41.40231248,2018-01-18 20:45:40.447000,2018-04-16 12:19:31.375000,homeaw8485082,Apartamento,2,4,0,3,226
homeaw599231f58a46554f807ae8fb32,https://www.homeaway.es/p6798376,2.13837,41.40291,2017-10-14 13:57:06.604000,2017-11-05 22:31:33.096000,homeaw6798376,Apartamento,4,6,0,31,134
homeaw599231f58a46554f807ae8fb33,https://www.homeaway.es/p1541807,2.1355579,41.4031756,2017-10-27 17:06:13.418000,2018-06-20 00:10:28.020000,homeaw1541807,Apartamento,3,6,33,3,184
homeaw599231f58a46554f807ae8fb34,https://www.homeaway.es/p6886746,2.1355386,41.4032259,2017-10-14 13:58:02.874000,2018-06-20 00:37:21.169000,homeaw6886746,Apartamento,3,6,28,1,247
homeaw599231f58a46554f807ae8fb35,https://www.homeaway.es/p8459998,2.1355386,41.4032259,2017-11-27 02:04:01.759000,2018-05-01 00:34:14.889000,homeaw8459998,Apartamento,3,6,21,0,253
homeaw599231f58a46554f807ae8fb36,https://www.homeaway.es/p6896034,2.1355325,41.4032935,2017-10-14 13:56:22.834000,2018-06-20 00:46:47.544000,homeaw6896034,Apartamento,3,6,30,1,215
homeaw599231f58a46554f807ae8fb37,https://www.homeaway.es/p8608866,2.1370234,41.4054996,2018-03-31 19:58:25.370000,2018-06-19 23:28:42.135000,homeaw8608866,Apartamento,1,3,2,31,51
homeaw599231f58a46554f807ae8fb38,https://www.homeaway.es/p1675244,2.13979116,41.40742318,2018-01-18 20:47:16.142000,2018-06-20 00:20:54.838000,homeaw1675244,Casa,6,13,3,3,366
homeaw599231f58a46554f807ae8fb39,https://www.homeaway.es/p8249934,2.1381714,41.408094,2017-10-14 13:57:22.554000,2018-06-20 00:07:29.690000,homeaw8249934,Apartamento,3,4,0,1,255
homeaw599231f58a46554f807ae8fb40,https://www.homeaway.es/p8424853,2.1381714,41.408094,2017-10-27 17:07:31.987000,2018-05-01 01:54:05.781000,homeaw8424853,Apartamento,3,4,0,0,199
homeaw599231f58a46554f807ae8fb41,https://www.homeaway.es/p8408222,2.13923078,41.40936466,2017-10-14 13:57:57.555000,2018-05-24 12:58:35.791000,homeaw8408222,Apartamento,3,4,0,1,180
homeaw599231f58a46554f807ae8fb42,https://www.homeaway.es/p1564201,2.13500465,41.40788407,2017-10-14 13:56:40.523000,2018-06-20 02:06:55.306000,homeaw1564201,Apartamento,2,4,1,3,0
homeaw599231f58a46554f807ae8fb43,https://www.homeaway.es/p6246277,2.13472676,41.40629959,2017-10-14 13:56:00.335000,2018-04-13 17:03:51.811000,homeaw6246277,Apartamento,1,3,29,31,47
homeaw599231f58a46554f807ae8fb44,https://www.homeaway.es/p8193038,2.1339727,41.40329914,2017-10-14 13:57:22.554000,2018-06-20 00:12:40.162000,homeaw8193038,Apartamento,4,8,0,0,278
homeaw599231f58a46554f807ae8fb45,https://www.homeaway.es/p1266112,2.1321684,41.4060391,2017-10-14 13:56:18.171000,2018-05-24 09:44:53.639000,homeaw1266112,Apartamento,4,8,29,3,290
homeaw599231f58a46554f807ae8fb46,https://www.homeaway.es/p6895539,2.132097,41.4061191,2017-10-14 13:56:42.518000,2018-06-20 00:54:17.607000,homeaw6895539,Apartamento,4,8,27,3,246
homeaw599231f58a46554f807ae8fb47,https://www.homeaway.es/p6886776,2.1301033,41.4047768,2017-10-14 13:58:02.874000,2018-05-24 09:01:39.124000,homeaw6886776,Apartamento,4,8,26,1,232
homeaw599231f58a46554f807ae8fb48,https://www.homeaway.es/p8460025,2.1301033,41.4047768,2017-11-27 02:06:16.670000,2018-06-19 23:36:33.372000,homeaw8460025,Apartamento,4,8,25,0,286
homeaw599231f58a46554f807ae8fb49,https://www.homeaway.es/p8301057,2.1248936,41.4132806,2017-10-14 13:57:28.097000,2018-05-24 11:51:28.087000,homeaw8301057,Apartamento,2,5,0,0,183
homeaw599231f58a46554f807ae8fb50,https://www.homeaway.es/p842904vb,2.10896917,41.41527277,2017-10-14 13:57:01.129000,2018-01-08 14:09:13.389000,homeaw842904vb,Villa,5,9,0,7,1314
homeaw599231f58a46554f807ae8fb51,https://www.homeaway.es/p1305761vb,2.1067145,41.41416925,2018-04-15 05:23:11.633000,2018-06-20 02:12:29.869000,homeaw1305761vb,Casa,5,10,0,32,0
homeaw599231f58a46554f807ae8fb52,https://www.homeaway.es/p4944406,2.10966465,41.41334977,2018-04-15 05:23:11.633000,2018-06-20 02:10:27.602000,homeaw4944406,Casa,5,10,0,32,0
homeaw599231f58a46554f807ae8fb53,https://www.homeaway.es/p1673221,2.11271977,41.40957617,2017-10-14 13:56:08.885000,2018-06-20 00:09:19.317000,homeaw1673221,Casa,3,5,2,2,142
homeaw599231f58a46554f807ae8fb54,https://www.homeaway.es/p8269102,2.1078401,41.4025948,2018-05-10 14:43:28.128000,2018-06-20 00:58:29.511000,homeaw8269102,Casa,3,8,1,7,392
homeaw599231f58a46554f807ae8fb55,https://www.homeaway.es/p8469646,2.11259196,41.4044033,2017-12-10 02:20:01.900000,2018-01-08 13:34:47.566000,homeaw8469646,Casa De Invitados,2,4,0,1,111
homeaw599231f58a46554f807ae8fb56,https://www.homeaway.es/p8100938,2.1144236,41.4038484,2017-10-14 13:56:24.993000,2017-12-28 04:56:25.224000,homeaw8100938,Casa,3,6,3,31,103
homeaw599231f58a46554f807ae8fb57,https://www.homeaway.es/p1746609,2.11687357,41.40892463,2017-10-14 13:56:13.584000,2018-01-04 14:14:38.164000,homeaw1746609,Casa,3,6,3,7,714
homeaw599231f58a46554f807ae8fb58,https://www.homeaway.es/p8700511,2.1213999,41.4006436,2018-05-10 14:43:03.842000,2018-06-20 00:24:01.236000,homeaw8700511,Apartamento,1,3,0,3,141
homeaw599231f58a46554f807ae8fb59,https://www.homeaway.es/p6084506,2.125,41.39688,2018-04-15 05:25:29.146000,2018-06-20 01:01:46.826000,homeaw6084506,Apartamento,0,4,0,3,172
homeaw599231f58a46554f807ae8fb60,https://www.homeaway.es/p1794515,2.1250079,41.3968829,2017-10-14 13:58:05.808000,2018-06-20 02:23:33.583000,homeaw1794515,Apartamento,1,4,1,30,0
homeaw599231f58a46554f807ae8fb61,https://www.homeaway.es/p3877084,2.11876,41.3998,2017-10-14 13:58:00.340000,2017-12-28 06:05:30.885000,homeaw3877084,Casa Rural,20,11,0,0,36
homeaw599231f58a46554f807ae8fb62,https://www.homeaway.es/p2484369,2.10824,41.39695,2017-10-14 13:56:58.758000,2018-04-16 13:04:25.660000,homeaw2484369,Casa,6,12,0,7,479
homeaw599231f58a46554f807ae8fb63,https://www.homeaway.es/p8556047,2.10824,41.39695,2018-03-31 20:03:20.463000,2018-05-24 15:07:59.603000,homeaw8556047,Villa,6,12,0,3,541
homeaw599231f58a46554f807ae8fb64,https://www.homeaway.es/p6674197,2.10824442,41.39694977,2017-10-14 13:56:16.101000,2018-06-20 00:48:19.714000,homeaw6674197,Casa,6,12,5,3,417
homeaw599231f58a46554f807ae8fb65,https://www.homeaway.es/p6058987,2.10824,41.39694,2017-10-14 13:56:55.855000,2018-06-20 00:46:21.468000,homeaw6058987,Casa,6,12,0,4,582
homeaw599231f58a46554f807ae8fb66,https://www.homeaway.es/p8101192,2.10671671,41.39224793,2017-10-14 13:57:20,2018-01-08 14:09:20.477000,homeaw8101192,Casa,3,6,0,1,800
homeaw599231f58a46554f807ae8fb67,https://www.homeaway.es/p8382495,2.1131154,41.3943819,2017-10-14 13:57:52.074000,2018-06-20 01:15:08.928000,homeaw8382495,Apartamento,2,3,0,0,77
homeaw599231f58a46554f807ae8fb68,https://www.homeaway.es/p8755326,2.1136215,41.3940415,2018-06-12 22:58:41.055000,2018-06-20 00:20:11.520000,homeaw8755326,Piso,5,8,0,1,502
homeaw599231f58a46554f807ae8fb69,https://www.homeaway.es/p8751606,2.1136215,41.3940415,2018-06-12 22:58:51.376000,2018-06-20 00:23:58.060000,homeaw8751606,Piso,5,8,0,20,668
