id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
houset599231f58a46554f807ae8fb1,http://www.housetrip.es/buscar-alojamientos/a/1-183952,2.09251,41.42699,2017-11-30 18:15:37.594000,2017-11-30 22:23:58.757000,houset183952,Villa,,8,24,,200
houset599231f58a46554f807ae8fb2,http://www.housetrip.es/buscar-alojamientos/a/1-2426001,2.09319,41.42934,2018-04-16 12:58:22.598000,2018-05-29 19:58:00.842000,houset2426001,Villa,,8,5,,201
houset599231f58a46554f807ae8fb3,http://www.housetrip.es/buscar-alojamientos/a/1-9267546,2.14181,41.419,2018-05-14 19:05:41.526000,2018-05-29 19:55:22.795000,houset9267546,Casa,,14,,3,220
houset599231f58a46554f807ae8fb4,http://www.housetrip.es/buscar-alojamientos/a/1-6864773,2.14227,41.41165,2017-11-30 18:15:37.594000,2017-11-30 22:37:43.202000,houset6864773,Casa,,6,,,90
houset599231f58a46554f807ae8fb5,http://www.housetrip.es/buscar-alojamientos/a/1-7469005,2.14149,41.41222,2017-11-30 18:15:37.594000,2018-04-17 16:30:00.315000,houset7469005,Apartamento,,7,,,180
houset599231f58a46554f807ae8fb6,http://www.housetrip.es/buscar-alojamientos/a/1-9058587,2.1428,41.41616,2017-11-30 18:15:37.594000,2017-11-30 22:33:04.532000,houset9058587,Apartamento,,11,,,92
houset599231f58a46554f807ae8fb7,http://www.housetrip.es/buscar-alojamientos/a/1-1440554,2.14307,41.40428,2017-11-30 18:15:37.594000,2018-04-17 16:24:29.453000,houset1440554,Apartamento,,10,4,,50
houset599231f58a46554f807ae8fb8,http://www.housetrip.es/buscar-alojamientos/a/1-1342373,2.14327,41.40436,2017-11-30 18:15:37.594000,2017-11-30 22:32:33.271000,houset1342373,Apartamento,,10,3,,40
houset599231f58a46554f807ae8fb9,http://www.housetrip.es/buscar-alojamientos/a/1-6317490,2.14124,41.40491,2018-04-16 12:58:10.216000,2018-04-17 16:26:38.037000,houset6317490,Apartamento,,6,,3,195
houset599231f58a46554f807ae8fb10,http://www.housetrip.es/buscar-alojamientos/a/1-5597658,2.14124,41.40491,2018-04-16 12:58:22.599000,2018-04-17 16:31:49.615000,houset5597658,Apartamento,,6,2,1,153
