id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
homeaw599230b08a46554edf8846651,https://www.homeaway.es/p8248976,1.94037087,41.26426266,2017-10-14 13:16:02.204000,2018-01-08 13:52:26.861000,homeaw8248976,Apartamento,2,6,0,1,0
homeaw599230b08a46554edf8846652,https://www.homeaway.es/p8106535,1.92374045,41.26346325,2017-10-14 13:14:23.985000,2018-01-08 13:52:22.658000,homeaw8106535,Casa,4,8,0,1,326
homeaw599230b08a46554edf8846653,https://www.homeaway.es/p8720470,1.9004305,41.2525667,2018-06-12 22:57:32.359000,2018-06-19 23:26:23.039000,homeaw8720470,Apartamento,2,4,3,5,135
homeaw599230b08a46554edf8846654,https://www.homeaway.es/p10117644,1.9005702,41.2525742,2017-10-27 16:22:10.327000,2018-01-08 13:52:33.219000,homeaw10117644,Casa Rural,11,27,0,1,250
homeaw599230b08a46554edf8846655,https://www.homeaway.es/p1489233,1.90209615,41.25310064,2017-10-14 13:16:49.302000,2018-01-08 13:52:29.048000,homeaw1489233,Apartamento,2,5,4,5,135
homeaw599230b08a46554edf8846656,https://www.homeaway.es/p6662948,1.90167046,41.25272369,2017-10-14 13:13:27.245000,2018-01-08 13:52:31.573000,homeaw6662948,Apartamento,1,4,1,5,83
homeaw599230b08a46554edf8846657,https://www.homeaway.es/p425031,1.90123943,41.25267112,2017-10-14 13:14:21.203000,2018-05-01 00:09:11.706000,homeaw425031,Villa,9,22,29,3,2048
homeaw599230b08a46554edf8846658,https://www.homeaway.es/p6563436,1.90124588,41.25274641,2017-10-14 13:16:52.656000,2018-01-02 15:26:04.142000,homeaw6563436,Apartamento,1,4,3,5,129
homeaw599230b08a46554edf8846659,https://www.homeaway.es/p412473,1.83300018,41.23599485,2017-10-14 13:13:24.808000,2018-06-19 23:12:41.957000,homeaw412473,Apartamento,2,5,40,3,190
homeaw599230b08a46554edf88466510,https://www.homeaway.es/p8692326,1.83244558,41.23606226,2018-06-12 22:57:25.810000,2018-06-19 23:16:20.127000,homeaw8692326,Apartamento,3,5,0,0,186
homeaw599230b08a46554edf88466511,https://www.homeaway.es/p872271a,1.83197021,41.23605939,2017-10-14 13:13:27.245000,2018-06-19 23:12:06.956000,homeaw872271a,Apartamento,2,6,29,1,287
homeaw599230b08a46554edf88466512,https://www.homeaway.es/p872271a?uni_id=1029640,1.83197021,41.23605939,2017-10-14 13:13:24.807000,2018-06-19 23:12:00.655000,homeaw872271a,Apartamento,3,8,16,2,254
homeaw599230b08a46554edf88466513,https://www.homeaway.es/p872271a?uni_id=1040751,1.83197021,41.23605939,2017-10-14 13:13:27.245000,2018-06-19 23:12:21.263000,homeaw872271a,Apartamento,2,4,19,2,128
homeaw599230b08a46554edf88466514,https://www.homeaway.es/p8125462,1.83447,41.23722,2017-10-14 13:16:46.094000,2018-01-08 13:52:28.909000,homeaw8125462,Villa,5,13,26,7,483
homeaw599230b08a46554edf88466515,https://www.homeaway.es/p1886815,1.83566395,41.23858052,2017-10-14 13:14:41.366000,2018-01-08 13:52:23.537000,homeaw1886815,Villa,4,9,3,3,283
homeaw599230b08a46554edf88466516,https://www.homeaway.es/p8451895,1.83428327,41.2386481,2018-04-15 05:22:56.333000,2018-06-19 23:27:15.716000,homeaw8451895,Villa,5,10,1,5,316
