id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
onlyap599230b08a46554edf8846651,https://www.only-apartments.es/_/644939,1.8226439987945469,41.247028337513086,2018-03-31 17:55:23.403000,2018-05-09 21:38:00.368000,onlyap644939,Apartamento,,8,,3,
onlyap599230b08a46554edf8846652,https://www.only-apartments.es/_/89043,1.8268777,41.2403429,2018-03-31 17:54:43.986000,2018-05-08 17:00:01.355000,onlyap89043,Apartamento,,5,,3,
onlyap599230b08a46554edf8846653,https://www.only-apartments.es/_/748270,1.824507,41.236991,2018-03-31 17:54:40.512000,2018-05-08 15:28:24.418000,onlyap748270,Apartamento,,5,,3,
onlyap599230b08a46554edf8846654,https://www.only-apartments.es/_/748256,1.824507,41.236991,2018-03-31 17:55:09.507000,2018-05-09 11:07:36.076000,onlyap748256,Apartamento,,6,,3,
onlyap599230b08a46554edf8846655,https://www.only-apartments.es/_/504656,1.82560280000007,41.2366424,2018-03-31 17:54:06.909000,2018-05-07 12:13:31.628000,onlyap504656,Apartamento,,3,,1,
onlyap599230b08a46554edf8846656,https://www.only-apartments.es/_/467890,1.82640370000001,41.237572,2018-03-31 17:53:10.058000,2018-05-07 02:13:55.342000,onlyap467890,Apartamento,,4,,1,
onlyap599230b08a46554edf8846657,https://www.only-apartments.es/_/330658,1.8280341,41.2404818,2018-03-31 17:55:14.199000,2018-05-09 15:57:58.230000,onlyap330658,Apartamento,,7,,4,
onlyap599230b08a46554edf8846658,https://www.only-apartments.es/_/677927,1.83039180000003,41.2364072,2018-03-31 17:54:10.130000,2018-05-07 12:42:31.731000,onlyap677927,Apartamento,,4,,1,
onlyap599230b08a46554edf8846659,https://www.only-apartments.es/_/105491,1.82528373559569,41.235022854166296,2018-03-31 17:54:29.299000,2018-05-08 07:47:07.402000,onlyap105491,Apartamento,,4,,1,
onlyap599230b08a46554edf88466510,https://www.only-apartments.es/_/381003,1.82424,41.2348,2018-03-31 17:54:06.907000,2018-05-07 12:28:37.987000,onlyap381003,Casa,,4,,1,
onlyap599230b08a46554edf88466511,https://www.only-apartments.es/_/460991,1.82285360000003,41.2353373,2018-03-31 17:55:23.406000,2018-05-10 00:31:10.801000,onlyap460991,Apartamento,,8,,3,
onlyap599230b08a46554edf88466512,https://www.only-apartments.es/_/728463,1.82186,41.2349,2018-04-17 11:30:54.481000,2018-05-07 04:52:53.902000,onlyap728463,,,,,,
onlyap599230b08a46554edf88466513,https://www.only-apartments.es/_/756355,1.813038,41.235915,2018-03-31 17:54:14.780000,2018-05-07 17:52:27.779000,onlyap756355,Apartamento,,4,,1,
onlyap599230b08a46554edf88466514,https://www.only-apartments.es/_/756351,1.813038,41.235915,2018-03-31 17:54:40.509000,2018-05-08 16:02:43.259000,onlyap756351,Apartamento,,5,,3,
onlyap599230b08a46554edf88466515,https://www.only-apartments.es/_/756352,1.813038,41.235915,2018-03-31 17:55:00.898000,2018-05-09 06:27:19.252000,onlyap756352,Apartamento,,6,,3,
onlyap599230b08a46554edf88466516,https://www.only-apartments.es/_/756356,1.813038,41.235915,2018-03-31 17:55:00.899000,2018-05-09 06:14:37.714000,onlyap756356,Apartamento,,6,,2,
onlyap599230b08a46554edf88466517,https://www.only-apartments.es/_/756357,1.813038,41.235915,2018-03-31 17:55:09.506000,2018-05-09 11:34:56.063000,onlyap756357,Apartamento,,6,,3,
onlyap599230b08a46554edf88466518,https://www.only-apartments.es/_/756354,1.813142,41.235967,2018-03-31 17:55:09.507000,2018-05-09 11:35:50.615000,onlyap756354,Apartamento,,6,,3,
onlyap599230b08a46554edf88466519,https://www.only-apartments.es/_/549465,1.8130806111145,41.236962844561,2018-03-31 17:54:22.586000,2018-05-07 23:13:40.264000,onlyap549465,Apartamento,,3,,1,
