"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","barrio","distrito"
11368,"CENTER. Nice attic with big TERRACE",42188,"Paola","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera",41.3875067707364,2.17860786195228,"Entire home/apt",100,33,40,"2018-07-16",0.45,1,290,"Sant Pere, Santa Caterina i la Ribera","Ciutat Vella"
18666,"Flat with Sunny Terrace",71615,"Mireia And Maria","Sant Martí","el Camp de l'Arpa del Clot",41.4088862115803,2.1855453256058,"Entire home/apt",130,3,1,"2015-10-10",0.03,34,61,"el Camp de l'Arpa del Clot","Sant Martí"
18674,"Huge flat for 8 people close to Sagrada Familia",71615,"Mireia And Maria","Eixample","la Sagrada Família",41.4041967848191,2.17305771774025,"Entire home/apt",130,1,5,"2018-06-18",0.08,34,166,"la Sagrada Família","Eixample"
19157,"Great Place in Sagrada Familia, Bcn",73099,"Urania","Eixample","la Sagrada Família",41.407929008267,2.17454040133707,"Private room",32,2,173,"2018-07-30",1.78,2,28,"la Sagrada Família","Eixample"
21605,"Nice and sunny duble room",82522,"Meritxell","Sant Martí","el Poblenou",41.4056041572247,2.19820512273065,"Private room",33,2,87,"2018-07-29",3.15,2,323,"el Poblenou","Sant Martí"
25786,"NICE ROOM AVAILABLE IN THE HEART OF GRACIA",108310,"Pedro","Gràcia","la Vila de Gràcia",41.4014519540478,2.15644651441653,"Private room",42,1,201,"2018-08-12",2.06,1,67,"la Vila de Gràcia","Gràcia"
31377,"Room for 2,  Sagrada Famili",134698,"Svetlana","Horta-Guinardó","el Baix Guinardó",41.4109694095544,2.17070120648716,"Private room",42,3,4,"2018-03-12",0.1,3,191,"el Baix Guinardó","Horta-Guinardó"
31380,"Room for 2-3. Barcelona, Sagrada Famili",134698,"Svetlana","Horta-Guinardó","el Baix Guinardó",41.4109004263265,2.1708189126808,"Private room",53,3,38,"2018-04-04",0.99,3,204,"el Baix Guinardó","Horta-Guinardó"
31823,"Aribau, Friendly Rentals",136853,"Fidelio","Eixample","l'Antiga Esquerra de l'Eixample",41.3873058071803,2.1590718216113,"Entire home/apt",75,1,55,"2018-07-13",0.57,36,324,"l'Antiga Esquerra de l'Eixample","Eixample"
31958,"Gaudi Attic 1, Friendly Rentals",136853,"Fidelio","Gràcia","el Camp d'en Grassot i Gràcia Nova",41.4094976756246,2.1593760044264,"Entire home/apt",65,1,144,"2018-07-29",1.58,36,308,"el Camp d'en Grassot i Gràcia Nova","Gràcia"
