"barrio","n_listings"
"Baró de Viver",1
"Can Baró",50
"Can Peguera",1
"Canyelles",8
"Ciutat Meridiana",13
"Diagonal Mar i el Front Marítim del Poblenou",195
"el Baix Guinardó",139
"el Barri Gòtic",1288
"el Besòs i el Maresme",249
"el Bon Pastor",14
"el Camp de l'Arpa del Clot",333
"el Camp d'en Grassot i Gràcia Nova",360
"el Carmel",103
"el Clot",169
"el Coll",48
"el Congrés i els Indians",57
"el Fort Pienc",594
"el Guinardó",177
"el Parc i la Llacuna del Poblenou",274
"el Poblenou",495
"el Poble Sec",1074
"el Putxet i el Farró",202
"el Raval",1484
"el Turó de la Peira",24
"Horta",39
"Hostafrancs",267
"la Barceloneta",411
"la Bordeta",128
"la Dreta de l'Eixample",1984
"la Font de la Guatlla",131
"la Font d'en Fargues",22
"la Guineueta",21
"la Marina del Prat Vermell",12
"la Marina de Port",92
"la Maternitat i Sant Ramon",169
"la Nova Esquerra de l'Eixample",835
"l'Antiga Esquerra de l'Eixample",1042
"la Prosperitat",19
"la Sagrada Família",1076
"la Sagrera",84
"la Salut",125
"la Teixonera",27
"la Trinitat Nova",6
"la Trinitat Vella",13
"la Vall d'Hebron",12
"la Verneda i la Pau",74
"la Vila de Gràcia",1048
"la Vila Olímpica del Poblenou",189
"les Corts",226
"les Roquetes",16
"les Tres Torres",29
"Montbau",15
"Navas",86
"Pedralbes",22
"Porta",41
"Provençals del Poblenou",118
"Sant Andreu",79
"Sant Antoni",1000
"Sant Genís dels Agudells",22
"Sant Gervasi - Galvany",338
"Sant Gervasi - la Bonanova",48
"Sant Martí de Provençals",91
"Sant Pere, Santa Caterina i la Ribera",1067
"Sants",367
"Sants - Badal",171
"Sarrià",38
"Torre Baró",11
"Vallbona",4
"Vallcarca i els Penitents",121
"Vallvidrera, el Tibidabo i les Planes",27
"Verdun",31
"Vilapicina i la Torre Llobeta",54
