"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
100256,"BARCELONA CENTRO EN LA PLAYA ,WIFI",527201,"Peca","Ciutat Vella","la Barceloneta",41.3798334135315,2.19249385206026,"Entire home/apt",50,32,48,"2017-05-31",0.63,1,322
127905,"Very calm apartment in the center",632830,"Federico","Sant Andreu","la Sagrera",41.4227345609186,2.18614108207111,"Entire home/apt",65,3,341,"2018-09-09",3.89,2,43
136043,"Twin room (2 people only) in Quirky central flat",666414,"Fiona","Sants-Montjuïc","el Poble Sec",41.3726039055626,2.16670215581493,"Private room",60,2,67,"2018-08-08",0.77,1,222
163536,"Cosy design apartment trendy  Born 5 bed 2bathroom",713364,"Horacio","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera",41.3867321597161,2.1838729207995,"Entire home/apt",300,210,25,"2017-08-28",0.32,3,365
199794,"Centric Double Room Private Bathroom - month  rent",440825,"Teresa","Eixample","l'Antiga Esquerra de l'Eixample",41.3833626402623,2.15853030526776,"Private room",35,1,71,"2018-08-23",1.15,1,305
233739,"Bright bedroom & private bathroom",1224008,"Sergio","Sants-Montjuïc","Sants - Badal",41.3746637782112,2.13028536676461,"Private room",40,2,93,"2018-07-09",1.19,1,48
239143,"Cute & Centric Apartment In Born",249351,"María Candela","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera",41.3862222923133,2.18131373078908,"Entire home/apt",50,32,147,"2018-08-04",1.74,1,323
242335,"Barceloneta Beach Apartment - FOR SEASON",15884961,"Pilar","Ciutat Vella","la Barceloneta",41.3829495851879,2.18791399871789,"Entire home/apt",73,32,4,"2015-12-21",0.05,10,365
303136,"Appartment in Barcelona",1560832,"Oscar","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou",41.4041518912036,2.21296913906449,"Entire home/apt",137,2,0,"",NA,1,364
380400,"Impeccable Cozy Apartment w/ AC, Netflix",865887,"Tim","Ciutat Vella","la Barceloneta",41.380033094624,2.18831453582368,"Entire home/apt",169,3,80,"2018-08-29",1.09,3,228
415848,"2 br, walking distance to ev-thing Cozy Space",865887,"Tim","Eixample","la Nova Esquerra de l'Eixample",41.3832292746495,2.14396047719862,"Entire home/apt",195,4,56,"2016-07-31",0.73,3,275
431054,"VILLA OLIMPICA BEAUTIFULL PENTHOUSE",2142963,"Igor","Sant Martí","el Parc i la Llacuna del Poblenou",41.3947914747713,2.1869159477218,"Entire home/apt",69,2,117,"2018-08-27",1.53,2,63
457411,"quality & charm in the coolest area",2273599,"Susana","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera",41.3837967749583,2.18334218849078,"Entire home/apt",90,31,206,"2018-08-21",2.74,1,248
468639,"Big room with exit to sunny terrace",2325968,"Sikerult","Sants-Montjuïc","Sants - Badal",41.3738375547314,2.12810964212107,"Private room",33,5,104,"2018-07-12",1.39,1,16
486014,"nice room Barcelona centre",2405609,"Cristobal","Eixample","el Fort Pienc",41.400033918127,2.17750613466907,"Private room",25,2,5,"2018-07-15",0.07,3,365
533118,"2 rooms for share in a family flat",2405609,"Cristobal","Eixample","el Fort Pienc",41.4003588980205,2.17716654637883,"Private room",30,2,5,"2017-06-25",0.07,3,365
569824,"Nice double room in Eixample BCN",2804421,"Karen","Eixample","l'Antiga Esquerra de l'Eixample",41.3908705305939,2.14611591172429,"Private room",25,2,0,"",NA,2,262
671951,"NEAR RAMBLA POBLENOU AND BEACH",82522,"Meritxell","Sant Martí","el Poblenou",41.4049428087522,2.19886920124319,"Private room",33,2,110,"2018-08-14",3.94,2,329
674461,"ROOM CENTRAL, IDEAL for CITY VISITORS",3424464,"Ramon","Sants-Montjuïc","el Poble Sec",41.3747577003209,2.16796542271572,"Private room",22,3,419,"2018-05-31",5.72,3,42
713340,"Fantástica Gracia",3671829,"Mayte","Gràcia","el Camp d'en Grassot i Gràcia Nova",41.4044853850502,2.16448982009784,"Private room",30,5,9,"2018-07-25",0.35,2,353
