"barrio","n_listings"
"Baró de Viver",2
"Can Baró",45
"Canyelles",5
"Ciutat Meridiana",11
"Diagonal Mar i el Front Marítim del Poblenou",176
"el Baix Guinardó",126
"el Barri Gòtic",1133
"el Besòs i el Maresme",194
"el Bon Pastor",13
"el Camp d'en Grassot i Gràcia Nova",319
"el Camp de l'Arpa del Clot",298
"el Carmel",93
"el Clot",155
"el Coll",39
"el Congrés i els Indians",65
"el Fort Pienc",495
"el Guinardó",165
"el Parc i la Llacuna del Poblenou",245
"el Poble Sec",1005
"el Poblenou",414
"el Putxet i el Farró",214
"el Raval",1438
"el Turó de la Peira",18
"Horta",39
"Hostafrancs",275
"l'Antiga Esquerra de l'Eixample",998
"la Barceloneta",393
"la Bordeta",111
"la Dreta de l'Eixample",1958
"la Font d'en Fargues",17
"la Font de la Guatlla",120
"la Guineueta",12
"la Marina de Port",75
"la Marina del Prat Vermell",11
"la Maternitat i Sant Ramon",135
"la Nova Esquerra de l'Eixample",776
"la Prosperitat",17
"la Sagrada Família",985
"la Sagrera",77
"la Salut",97
"la Teixonera",25
"la Trinitat Nova",8
"la Trinitat Vella",13
"la Vall d'Hebron",14
"la Verneda i la Pau",59
"la Vila de Gràcia",963
"la Vila Olímpica del Poblenou",177
"les Corts",222
"les Roquetes",24
"les Tres Torres",31
"Montbau",15
"Navas",77
"Pedralbes",21
"Porta",33
"Provençals del Poblenou",99
"Sant Andreu",69
"Sant Antoni",916
"Sant Genís dels Agudells",19
"Sant Gervasi - Galvany",330
"Sant Gervasi - la Bonanova",46
"Sant Martí de Provençals",84
"Sant Pere, Santa Caterina i la Ribera",1032
"Sants",349
"Sants - Badal",152
"Sarrià",31
"Torre Baró",7
"Vallcarca i els Penitents",94
"Vallvidrera, el Tibidabo i les Planes",22
"Verdun",25
"Vilapicina i la Torre Llobeta",55
