id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18653,Modern apartment well connected,71615,Mireia And Maria,Eixample,la Sagrada Família,41.40921459338917,2.1738675526453535,Entire home/apt,151,2,0,,,28,81
18666,Flat with Sunny Terrace,71615,Mireia And Maria,Sant Martí,el Camp de l'Arpa del Clot,41.40888621158034,2.1855453256058017,Entire home/apt,130,3,1,2015-10-10,0.03,28,61
18674,Huge flat for 8 people close to Sagrada Familia,71615,Mireia And Maria,Eixample,la Sagrada Família,41.404196784819064,2.1730577177402504,Entire home/apt,95,3,4,2016-06-20,0.07,28,178
19157,"Great Place in Sagrada Familia, Bcn",73099,Urania,Eixample,la Sagrada Família,41.40792900826702,2.1745404013370675,Private room,30,2,159,2018-05-07,1.69,2,53
20345,"2 Double rooms for 4 persons, WI-FI",76809,Mila,Nou Barris,Vilapicina i la Torre Llobeta,41.42949697771672,2.181557864385909,Private room,25,2,71,2018-05-03,0.74,1,329
21605,Nice and sunny duble room,82522,Meritxell,Sant Martí,el Poblenou,41.4056041572247,2.19820512273065,Private room,33,2,72,2018-05-05,2.93,3,264
21974,Comf. double room/private bathroom,73163,Andres,Ciutat Vella,el Barri Gòtic,41.38076824557152,2.1755096344530243,Private room,60,3,2,2017-11-06,0.16,4,0
25786,NICE ROOM AVAILABLE IN THE HEART OF GRACIA,108310,Pedro,Gràcia,la Vila de Gràcia,41.40145195404779,2.156446514416526,Private room,45,1,176,2018-05-04,1.86,1,151
31377,"Room for 2,  Sagrada Famili",134698,Svetlana,Horta-Guinardó,el Baix Guinardó,41.41096940955444,2.1707012064871583,Private room,42,3,4,2018-03-12,0.11,3,197
31380,"Room for 2-3. Barcelona, Sagrada Famili",134698,Svetlana,Horta-Guinardó,el Baix Guinardó,41.410900426326464,2.1708189126808017,Private room,53,3,38,2018-04-04,1.08,3,190
31823,"Aribau, Friendly Rentals",136853,Lina,Eixample,l'Antiga Esquerra de l'Eixample,41.387305807180255,2.159071821611301,Entire home/apt,75,3,45,2018-04-28,0.48,44,279
31958,"Gaudi Attic 1, Friendly Rentals",136853,Lina,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40949767562464,2.1593760044263988,Entire home/apt,75,3,137,2018-04-09,1.56,44,282
32471,"Gaudi Attic 2, Friendly Rentals",136853,Lina,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.409282448808995,2.1611176368188154,Entire home/apt,80,3,61,2018-04-28,0.68,44,295
32711,Sagrada Familia area - Còrsega 1,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.404635812260686,2.169537931472452,Entire home/apt,140,2,42,2018-05-04,0.51,12,265
32868,"Sant Joan 4, Friendly Rentals",136853,Lina,Eixample,la Dreta de l'Eixample,41.395757583681075,2.1743191844527967,Entire home/apt,90,3,78,2018-01-07,0.84,44,290
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163,Andres,Ciutat Vella,el Barri Gòtic,41.3791695359138,2.1755459205559347,Entire home/apt,337,5,107,2018-05-08,1.15,4,202
35379,Double 02 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.390292371929434,2.1526776655400943,Private room,40,2,170,2018-05-08,2.26,4,253
35388,Single 01 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.390584087316824,2.151896791679498,Private room,30,2,153,2018-05-11,1.81,4,292
35390,Single 02 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39146706179137,2.1511848274650394,Private room,30,2,141,2018-05-12,1.93,4,298
35392,Double 01 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39075231772431,2.1507170864108045,Private room,45,2,120,2018-05-10,2.69,4,270
36763,In front of the beach,158596,Ester,Ciutat Vella,la Barceloneta,41.37906404797985,2.191414374177489,Private room,38,2,45,2017-10-14,0.56,1,339
40983,Classical loft close to pedrera!,177617,Joaquin,Eixample,la Dreta de l'Eixample,41.39559668113324,2.167606582682667,Entire home/apt,95,3,90,2018-05-09,1.07,5,91
44868,Center of Barcelona,197737,Ushma,Ciutat Vella,el Raval,41.38144910594339,2.166924773426643,Entire home/apt,74,5,83,2018-05-04,0.89,2,273
