,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,diff_type
4,16425806,LOFT 120 METROS RAMBLAS,3100119,Eva,Ciutat Vella,el Raval,41.3791887749,2.17392932602,Private room,49,2,12,2017-11-13,1.63,1,344,erased
7,22073205,Flat Centro Rambla,31162997,MargotHappy,Ciutat Vella,el Raval,41.3771950899,2.17272071052,Private room,35,1,0,,,1,87,erased
14,21331285,Habitacion doble en la Rambla,153400350,Rogger,Ciutat Vella,el Raval,41.3812346601,2.17296892193,Private room,59,2,0,,,2,90,erased
25,16606629,SUNNY APARTMENT,108329176,César,Ciutat Vella,el Raval,41.3757698763,2.17222232195,Entire home/apt,150,1,9,2017-08-03,0.84,1,11,erased
35,11256919,"Lovely flat, super central",58743608,Manolito,Ciutat Vella,el Raval,41.3795353072,2.17358331691,Private room,102,5,6,2017-07-19,0.28,1,9,erased
44,14003511,Private Room in La Rambla,82801558,Sina,Ciutat Vella,el Raval,41.3791084889,2.17430087062,Private room,35,1,3,2017-07-06,0.19,2,364,erased
45,13819298,LAS RAMBLAS! Incredible double room & balcony,81143689,Maria Dolores,Ciutat Vella,el Raval,41.3797909041,2.17248059067,Private room,30,3,26,2017-08-20,1.59,4,0,erased
53,13799907,LAS RAMBLAS! Hermosa Habitac doble,81143689,Maria Dolores,Ciutat Vella,el Raval,41.3799100903,2.17249943016,Private room,22,2,20,2016-12-01,1.22,4,15,erased
84,14336209,Central and Affordable,6048193,Walter & Armando,Ciutat Vella,el Raval,41.3762690251,2.17665566343,Private room,23,2,80,2017-11-18,5.22,3,42,erased
89,14629608,Best place for walking the city,24112000,Chic & Cheap,Ciutat Vella,el Raval,41.3802309135,2.16347822499,Entire home/apt,80,1,24,2017-10-24,1.58,1,52,erased
91,9226891,PECULIAR CHEAP PENTHOUSE 2 TERRACES,10715954,Nico,Ciutat Vella,el Raval,41.3837131512,2.16497980287,Entire home/apt,61,3,22,2017-08-21,1.07,1,233,erased
112,20834860,Flower red,149373664,Helen Y Aroon,Ciutat Vella,el Raval,41.3795879628,2.1669865198,Private room,37,2,4,2017-10-08,1.52,4,123,erased
116,19418188,AMAZING CENTRAL FLAT 1B,133553691,Frank & Adri,Ciutat Vella,el Raval,41.3809209488,2.16439309025,Entire home/apt,49,1,2,2017-09-24,0.45,12,259,erased
118,4913728,Enjoy Barcelona in Beautiful Room,4441820,Fabian,Ciutat Vella,el Raval,41.377704439,2.16763038354,Private room,30,1,88,2017-10-17,2.74,1,63,erased
121,21343931,Room for two people Centre Barcelona.,125250242,Agustina Doris,Ciutat Vella,el Raval,41.3791428461,2.16483121741,Private room,15,4,0,,,4,364,erased
143,12099120,Private Room on Rent in City Center,64867937,Rocio,Ciutat Vella,el Raval,41.3784404388,2.16835523499,Private room,30,2,60,2017-10-16,2.93,1,364,erased
150,16116126,Roof apartment 1 bedroom +1 bathroom,104876399,Charmsuites,Ciutat Vella,el Raval,41.3751647556,2.16804200092,Entire home/apt,85,1,1,2017-03-05,0.11,11,286,erased
174,19050574,OFFER! Double room w/ Private Bathroom & Balcony,9997197,John,Ciutat Vella,el Raval,41.3778838389,2.17079187743,Private room,25,3,10,2017-10-29,1.62,2,82,erased
177,18755315,BHN flats E101,94665134,Bhn,Ciutat Vella,el Raval,41.3773572063,2.16550761428,Entire home/apt,55,3,2,2017-10-09,0.33,3,351,erased
183,15126198,Dormitorio doble dulce en La Rambla,31661066,Gan,Ciutat Vella,el Raval,41.3807694649,2.16961468378,Private room,62,2,42,2017-09-26,2.82,1,364,erased
188,22074112,Central location!!!,161246640,Luke,Ciutat Vella,el Raval,41.3787054861,2.16820314548,Private room,52,1,0,,,4,20,erased
199,8251197,Apartment Ramblas Barcelona x2,42126341,Oriol / Virginia,Ciutat Vella,el Raval,41.3826144273,2.17194518573,Entire home/apt,125,2,88,2017-12-04,3.3,4,76,erased
209,21160189,The cute and cozy room in the heart of Barcelona,150164588,Leo,Ciutat Vella,el Raval,41.3803215101,2.17028272729,Private room,25,1,0,,,5,36,erased
212,20992486,"Room with air condition, bunk bed.",3455029,Eugenia,Ciutat Vella,el Raval,41.3772318145,2.17466302766,Private room,18,3,8,2017-11-24,3.33,3,9,erased
221,6325789,Single Room in Raval,27781570,José Vicente Y Mari,Ciutat Vella,el Raval,41.3772354386,2.17065250834,Private room,28,2,47,2017-08-21,1.5,1,340,erased
257,16908825,Two bedroom flat in Sant Antoni/BCN,112880864,Eli,Ciutat Vella,el Raval,41.3820039921,2.16560975625,Entire home/apt,52,2,31,2017-11-05,3.12,1,313,erased
270,21385521,Beautiful Guest Bedroom,91305360,Paulina,Ciutat Vella,el Raval,41.3857464037,2.16502869969,Private room,39,1,0,,,1,5,erased
273,13012253,Double room in the center of Barcelona,49704172,Mae,Ciutat Vella,el Raval,41.3835696621,2.17058954519,Private room,40,7,75,2017-10-04,4.08,1,7,erased
275,20724960,《☆RAMBLAS PENTHOUSE☆》  ROOM BARCELONA,147902638,Roberto,Ciutat Vella,el Raval,41.3814380114,2.16481174903,Private room,21,1,9,2017-10-22,3.07,3,83,erased
286,2399207,"central,best area in town, quiet",12259088,Luciano,Ciutat Vella,el Raval,41.3791328796,2.16966093662,Entire home/apt,90,3,65,2017-10-07,1.42,1,253,erased
293,20327062,Two times the fun,24222016,My Friends House,Ciutat Vella,el Raval,41.3821617851,2.16901472772,Private room,72,1,0,,,6,81,erased
295,21538322,Genial habitacion en el centro,156564431,Victor,Ciutat Vella,el Raval,41.3849118763,2.16468755597,Private room,19,1,0,,,1,33,erased
298,9285494,[€] Raval Apt Center 5min La Rambla Economic Price,48218866,Jun,Ciutat Vella,el Raval,41.3773408411,2.16844831591,Entire home/apt,32,2,61,2017-12-03,4.77,1,278,erased
303,16764402,Barcelona Chinese hotel,25739160,Joy,Ciutat Vella,el Raval,41.3848764184,2.16560267697,Private room,65,1,16,2017-10-29,1.45,1,359,erased
308,20331434,"Fantastic, Diana's room for two",24222016,My Friends House,Ciutat Vella,el Raval,41.3811065756,2.16914487191,Private room,72,1,0,,,6,17,erased
313,20808207,1 private bedroom with private bathroom,3027805,Sina,Ciutat Vella,el Raval,41.3811870396,2.16678445108,Private room,49,2,0,,,1,156,erased
320,18668304,Enjoy your stay in Bcn!,33274839,Anny,Ciutat Vella,el Raval,41.3812272385,2.16767036325,Private room,44,1,5,2017-09-16,0.8,3,184,erased
335,21075666,The nice apartment in the heart of Barcelona,150164588,Leo,Ciutat Vella,el Raval,41.3774421907,2.17047852568,Entire home/apt,79,1,3,2017-11-03,1.45,5,87,erased
349,20277677,Comfortable Apartment Barcelona,16606682,Natalie,Ciutat Vella,el Raval,41.3845432559,2.16553754586,Entire home/apt,59,2,3,2017-11-08,1.88,2,275,erased
364,20277749,"Brand New, Super Centric Flat",2952555,Frederic,Ciutat Vella,el Raval,41.3789460774,2.17058811166,Entire home/apt,175,3,10,2017-11-06,2.48,3,363,erased
369,10032697,Skateboard House -side of Macba BCN,51083725,Caio,Ciutat Vella,el Raval,41.3817360052,2.16591520331,Private room,23,20,23,2017-07-02,1.0,1,334,erased
381,21436802,Double bedroom w/private bathroom in BCN centre,7308577,Silvana&Juana,Ciutat Vella,el Raval,41.3765380923,2.16648367006,Private room,35,2,1,2017-10-28,0.7,1,85,erased
382,22026638,Camp on the beach ( Your private bungalow),4232447,Anthony,Ciutat Vella,el Raval,41.3845728485,2.16776739496,Entire home/apt,80,2,0,,,12,357,erased
388,21633767,Bonito apartamento en Liceu,20880931,Sol,Ciutat Vella,el Raval,41.3791415335,2.17128959403,Entire home/apt,69,1,0,,,1,0,erased
393,10558480,"Hab. triple, espaciosa, céntrica",20390075,Marisa,Ciutat Vella,el Raval,41.3785581247,2.17534363076,Private room,52,1,85,2017-10-15,3.88,7,355,erased
396,14032078,Centric Modernist Apartment - Monthly Rent,84028113,Albert,Ciutat Vella,el Raval,41.3826846265,2.16418796436,Entire home/apt,95,3,28,2017-11-27,4.0,1,11,erased
401,10559242,Great small room. All you need,20390075,Marisa,Ciutat Vella,el Raval,41.378590715,2.17497088293,Private room,51,1,21,2017-10-31,1.04,7,364,erased
404,10559356,Espacious room with bathroom,20390075,Marisa,Ciutat Vella,el Raval,41.3786565498,2.17327164043,Private room,52,1,26,2017-10-06,1.26,7,365,erased
406,10559406,Big room with big special bathroom,20390075,Marisa,Ciutat Vella,el Raval,41.3793644313,2.17474207251,Private room,52,1,42,2017-10-22,1.94,7,359,erased
413,19800409,Three People C1 Room near Plaza Catalunya,139841245,Evelina,Ciutat Vella,el Raval,41.380403013,2.16761130554,Private room,83,2,8,2017-09-22,1.6,3,365,erased
418,5767967,Triplex Pelayo Deluxe - BCN54,2151490,Juan,Ciutat Vella,el Raval,41.3847074827,2.16538018949,Entire home/apt,807,2,15,2017-11-19,0.52,6,319,erased
419,22086455,Bungalow by the beach (xmas and new year special),4232447,Anthony,Ciutat Vella,el Raval,41.3831995785,2.1671473854,Entire home/apt,120,1,0,,,12,363,erased
420,19604216,Cozy room in the heart of Barcelona. Sant Antoni,36486665,Vova,Ciutat Vella,el Raval,41.3794536222,2.16406549974,Private room,16,1,4,2017-09-03,0.81,12,15,erased
450,8979999,apartment Luxury Mercat Sant Antoni,30333717,Sandra,Ciutat Vella,el Raval,41.3805198555,2.16489047955,Entire home/apt,140,2,73,2017-10-22,2.84,1,340,erased
453,12768872,central cosy apartment,22682463,Pierre,Ciutat Vella,el Raval,41.3764601698,2.16831390169,Entire home/apt,30,5,60,2017-11-08,3.09,1,95,erased
464,20318248,King Peace in the Raval,24222016,My Friends House,Ciutat Vella,el Raval,41.3815801107,2.16976456984,Private room,120,1,0,,,6,40,erased
478,19540940,Perfect Loft at Plaza Catalunya,320081,Vicente,Ciutat Vella,el Raval,41.3853818783,2.16810048458,Entire home/apt,65,2,17,2017-11-18,3.17,1,10,erased
481,18033738,"City Centre - 10 minutes to La Rambla, La Boqueria",96780876,Kuthan,Ciutat Vella,el Raval,41.3816153564,2.16765196322,Private room,59,1,3,2017-06-05,0.42,2,0,erased
482,21826000,COMFORTABLE APARTMENT IN THE CENTER OF THE CITY,159109976,Leila,Ciutat Vella,el Raval,41.3774878933,2.16794003392,Entire home/apt,50,2,0,,,1,78,erased
