,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8,17756979,Cosy double bed in a charmig house!,121078134,Pau,Ciutat Vella,el Raval,41.3770459278,2.16865429573,Private room,40,2,28,2017-09-18,4.57,2,354
12,14548958,Amazing double room in the heart of the city,13710553,Cristina,Ciutat Vella,el Raval,41.3773632291,2.17453592604,Private room,50,2,63,2017-09-29,4.8,1,194
16,18279311,Las Ramblas - BCN Central - Double Room 4,124573040,Claudio,Ciutat Vella,el Raval,41.3764821636,2.1762549459,Private room,65,1,3,2017-05-15,0.57,4,34
17,20769663,Ático con Terraza y vistas a 2 min de las Ramblas,148282679,Raval,Ciutat Vella,el Raval,41.3779444933,2.17106767492,Entire home/apt,100,3,0,,,1,322
36,17687804,"1With a sun balcony,close to port",118991340,Anna,Ciutat Vella,el Raval,41.3771434378,2.17072825391,Private room,45,5,6,2017-05-21,0.95,2,61
40,17687755,"2With a sun balcony,close to Rambla",118991340,Anna,Ciutat Vella,el Raval,41.3772502194,2.17097209508,Private room,39,5,8,2017-07-31,1.18,2,61
41,2895670,BEST room SMALL price! (Double room+balcony),971952,Ana,Ciutat Vella,el Raval,41.3844022666,2.16428207536,Private room,38,2,127,2017-09-20,3.11,1,303
53,19457160,Room with private Bathroom of the city,136458568,Andrea,Ciutat Vella,el Raval,41.3787584408,2.17097648761,Private room,46,2,9,2017-09-30,2.78,2,352
64,20703030,Comfortable apartment in the old city,142497399,﻿﻿Jaime,Ciutat Vella,el Raval,41.3781106222,2.16663404958,Entire home/apt,160,3,0,,,1,83
69,779907,VINTAGE SOFT LOFT STUDIO,2528474,Nugz,Ciutat Vella,el Raval,41.3824779407,2.16577420375,Entire home/apt,62,1,36,2017-09-25,0.61,2,173
72,19916433,Spacious Cosy apartment in the old heart of BCN,137491097,Sara,Ciutat Vella,el Raval,41.3805872727,2.16722052099,Entire home/apt,150,4,2,2017-08-27,1.03,1,364
77,18472395,Duplex barcelona center,26060045,Remy,Ciutat Vella,el Raval,41.3771180327,2.16799557181,Entire home/apt,40,5,9,2017-09-27,1.78,4,14
81,18801781,JUST THE BEST RAMBLA COOLER FLAT,124652202,Luca,Ciutat Vella,el Raval,41.379744767,2.17233908961,Entire home/apt,345,1,7,2017-08-13,1.5,1,363
92,11002274,RAMBLAS APARTMENT ONE BEDROOM,383697,Anna,Ciutat Vella,el Raval,41.3845140565,2.16747682527,Entire home/apt,100,3,18,2017-08-13,0.92,17,337
120,19651569,Spectacular 2 bedroom apartment centrally located,7316491,German,Ciutat Vella,el Raval,41.3856374837,2.16631577246,Entire home/apt,310,3,0,,,42,313
133,21036631,Private room in the ramblas,147804332,Patricia,Ciutat Vella,el Raval,41.3768325222,2.17492479042,Private room,54,1,0,,,2,89
137,19453367,Single room in Barcelona´s heart - only for girls!,17553261,Cecilia,Ciutat Vella,el Raval,41.3840370386,2.16583945529,Private room,30,3,6,2017-10-01,1.84,1,0
142,20829284,HABITACION GRUPOS,144559506,Lou,Ciutat Vella,el Raval,41.3838839318,2.17013353647,Private room,50,1,1,2017-09-12,1.0,5,346
146,13228038,Nice apartment with double bedrooms next to Rambla,12168620,Alexander,Ciutat Vella,el Raval,41.3825936458,2.16917835962,Entire home/apt,150,2,69,2017-10-02,4.16,1,338
147,12507117,NEW RAMBLA APARTMENT,11322592,Stephane,Ciutat Vella,el Raval,41.3792060875,2.17471067851,Entire home/apt,75,3,65,2017-09-29,3.76,1,258
150,9116045,大きく綺麗な快適ハウス。Big comfortable house,47499138,Hiroko,Ciutat Vella,el Raval,41.3783231143,2.16653309048,Private room,33,2,96,2017-10-03,4.19,6,75
160,12505760,Double room in the city centre,42686705,Carlos,Ciutat Vella,el Raval,41.3816567892,2.17021063088,Private room,59,3,26,2017-09-17,1.5,4,363
163,18993772,Cozy loft in Raval,83862318,Vic,Ciutat Vella,el Raval,41.3799723765,2.1650029526,Entire home/apt,83,3,12,2017-09-21,2.88,2,162
171,19976599,Beach room,119519211,Hana,Ciutat Vella,el Raval,41.3828872755,2.16980667423,Private room,30,2,7,2017-09-17,3.39,3,11
174,19650631,High-class apartment in the heart of the city,7316491,German,Ciutat Vella,el Raval,41.3848808752,2.16645078661,Entire home/apt,210,3,0,,,42,298
188,19609364,Room private with Beatiful Balcony,136458568,Andrea,Ciutat Vella,el Raval,41.3798213977,2.16870139554,Private room,45,2,10,2017-10-01,3.23,2,362
198,18993366,"Cozy studio next to subway, ramblas and the beach!",129458905,Cozy Apartments,Ciutat Vella,el Raval,41.3766145958,2.17136700341,Entire home/apt,100,1,2,2017-09-15,0.51,2,45
206,10078944,Beautiful double room in Raval,51717454,Manolo,Ciutat Vella,el Raval,41.3828608464,2.16594500785,Private room,40,2,25,2017-07-26,1.27,2,335
211,18544309,BEAUTIFUL 2BD 2 FLOORS APT W/ ROOFTOP @CITY CENTER,100449615,Marcelo,Ciutat Vella,el Raval,41.3824931156,2.1668062528,Entire home/apt,227,2,9,2017-09-18,1.82,1,2
214,19187734,Beautiful and cosy flat near la Rambla,134216227,Hugo,Ciutat Vella,el Raval,41.3832132568,2.17054319796,Entire home/apt,59,3,0,,,1,6
217,16435102,"We are close to everything, In Ciutat Vella center",78586651,Eva,Ciutat Vella,el Raval,41.3754925034,2.17352573339,Private room,19,1,82,2017-09-28,8.66,2,14
231,20694001,Doble bedroom in renovated flat + private bathroom,99628087,Stefan,Ciutat Vella,el Raval,41.3830192564,2.16430128816,Private room,64,1,4,2017-10-01,4.0,1,66
234,8307555,"Barcelona Center, 100m2 terrace & very quiet",2273819,Andy,Ciutat Vella,el Raval,41.3811139335,2.16600857692,Private room,55,1,115,2017-09-30,4.58,2,23
235,2474932,The big room for 3 persons,5511621,Eduard,Ciutat Vella,el Raval,41.382682198,2.1645735465,Private room,70,4,28,2017-07-26,0.68,3,83
250,15778083,BRAND NEW!! HOMEMADE CENTRAL PLACE,101953879,Allen,Ciutat Vella,el Raval,41.3797822349,2.1643386968,Entire home/apt,69,1,56,2017-09-18,4.99,1,352
252,1491139,Top Floor Studio - Awesome Terrace!,7900549,Max,Ciutat Vella,el Raval,41.3790662641,2.16849382346,Entire home/apt,95,5,115,2017-09-30,2.28,1,350
260,18399278,Luxury&Confort Room - Bcn Centre 2,31784847,Nana,Ciutat Vella,el Raval,41.3790068223,2.16473467985,Private room,38,1,0,,,3,364
284,19841700,cosy apartment center barcelona,140256042,Paul,Ciutat Vella,el Raval,41.3790058603,2.16603560251,Entire home/apt,40,4,6,2017-09-22,2.54,1,14
