,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19,17471210,"Las Terrazas, Friendly Rentals",102947901,Claudia,Eixample,la Sagrada Família,41.4076170782,2.1703699546,Entire home/apt,80,1,0,,,112,316
20,17471166,"Gaudi Dream, Friendly Rentals",102947901,Claudia,Eixample,la Sagrada Família,41.4055116511,2.1732182275,Entire home/apt,74,1,1,2017-07-16,0.51,112,311
21,824902,Sagrada Familia.,4236308,Germán,Eixample,la Sagrada Família,41.4103201584,2.17518164251,Entire home/apt,72,3,85,2017-09-02,1.54,2,312
33,7706946,"(Sagrada Familia)Quiet,clean,comfort for couple.",40486498,Willian,Eixample,la Sagrada Família,41.4053606238,2.17919244511,Private room,42,2,14,2017-09-05,0.55,2,262
34,20813640,Marina Magic,136964257,Jose,Eixample,la Sagrada Família,41.4039914056,2.17356081728,Private room,35,2,0,,,2,357
40,18847037,Very Centric and comfortable Double or Single Room,83758728,Camila,Eixample,la Sagrada Família,41.4042019425,2.17879793293,Private room,61,1,7,2017-08-16,1.93,4,358
43,20877214,"sagrada familia, eixample, terraza",132746270,Jorge Y Rosa,Eixample,la Sagrada Família,41.4027466639,2.1703957257,Entire home/apt,90,3,0,,,3,290
52,7574200,Sagrada Familia,7347339,Thaís,Eixample,la Sagrada Família,41.4075962452,2.17251898291,Private room,50,7,0,,,2,331
57,20877934,"sagrada familia, eixample ,barcelona",132746270,Jorge Y Rosa,Eixample,la Sagrada Família,41.4022201196,2.17054684694,Entire home/apt,90,3,0,,,3,320
58,20811258,Double room Sagrada Familia,52097927,David,Eixample,la Sagrada Família,41.4067263407,2.17350463919,Private room,35,2,0,,,1,80
59,20281579,Private room close to Sagrada Familia,23736138,H.,Eixample,la Sagrada Família,41.407006589,2.17546963875,Private room,23,1,7,2017-08-31,7.0,1,7
75,20809166,Habitación Individual en Sagrada Família,149216709,Marcos,Eixample,la Sagrada Família,41.4057489571,2.17591595556,Private room,35,4,0,,,1,177
93,821523,Beautiful Sagrada Familia Flat,4313721,Africa,Eixample,la Sagrada Família,41.4044260697,2.17601462649,Entire home/apt,125,2,116,2017-08-25,2.38,1,309
98,887953,Fabulous Attic in Sagrada Familia,567180,Suite Home,Eixample,la Sagrada Família,41.4063123118,2.17377366048,Entire home/apt,229,3,26,2017-06-18,0.87,11,328
131,16938445,Double room in Sagrada Familia,9824130,Jorge,Eixample,la Sagrada Família,41.4050324985,2.17845672927,Private room,20,3,0,,,1,0
134,162091,Cosy Apartment in Sagrada Familia,567180,Suite Home,Eixample,la Sagrada Família,41.4053213937,2.17427032234,Entire home/apt,149,3,35,2017-06-03,0.53,11,351
